24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,OpTic Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,4,Hardpoint,Berlin,250,Rokkr,163,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,1,Hardpoint,Tuscan,230,Thieves,250,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,2,Major,2,SnD,Bocage,5,Thieves,6,Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,0,4,1,1,1,1,2,6,,2,Major,3,Control,Tuscan,3,Thieves,0,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,0.00%,,50.00%,,50.00%,,25.00%,,,2,Major,4,Hardpoint,Berlin,250,Thieves,111,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,729,,11,,3,,,,,2,Major,5,SnD,Tuscan,6,Thieves,4,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1000,,8,,4,,,,,2,Major,1,Hardpoint,Gavutu,248,Mutineers,250,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,182.25,,5.50,,1.50,,,,,2,Major,2,SnD,Berlin,1,Mutineers,6,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPGA,250.00,,4.00,,2.00,,,,,2,Major,3,Control,Gavutu,3,Mutineers,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Diff,-67.75,,1.50,,-0.50,,,,,2,Major,4,Hardpoint,Berlin,206,Mutineers,250,Mutineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,Wk 1,1,Hardpoint,Bocage,250,Guerrillas,225,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-1,HP,,SnD,,CTR,,Total,,,3,Wk 1,2,SnD,Berlin,6,Guerrillas,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultra,W,L,W,L,W,L,W,L ,,3,Wk 1,3,Control,Berlin,3,Guerrillas,1,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,0,0,1,1,0,1,1,2,,3,Wk 1,1,Hardpoint,Tuscan,250,Mutineers,186,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,3,0,1,1,0,0,4,1,,3,Wk 1,2,SnD,Berlin,6,Mutineers,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
