Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 2,3,Control,Tuscan,Legion,1,OpTic,3,OpTic,,2,Wk 2,Surge,1,Guerrillas,3,Guerrillas,,4,Thieves,3,2,60.00%,13,8,61.90%,30,4,OpTic,,30,,,,,
1,Wk 2,1,Hardpoint,Gavutu,FaZe,250,Breach,102,FaZe,,2,Wk 2,Rokkr,3,Thieves,2,Rokkr,,5,FaZe,3,2,60.00%,11,8,57.89%,30,5-6,Mutineers,,20,,,,,
1,Wk 2,2,SnD,Berlin,FaZe,2,Breach,6,Breach,,2,Wk 2,FaZe,3,Ultra,2,FaZe,,6,Mutineers,3,2,60.00%,11,10,52.38%,30,,Ultra,,,,,,,
1,Wk 2,3,Control,Gavutu,FaZe,3,Breach,2,FaZe,,2,Wk 3,Legion,3,Ultra,2,Legion,,7,Rokkr,3,2,60.00%,10,11,47.62%,30,7-8,Breach,,10,,,,,
1,Wk 2,4,Hardpoint,Bocage,FaZe,250,Breach,188,FaZe,,2,Wk 3,Thieves,2,Guerrillas,3,Guerrillas,,8,Guerrillas,2,3,40.00%,10,12,45.45%,20,,Guerrillas,,,,,,,
1,Wk 2,1,Hardpoint,Bocage,Thieves,250,Mutineers,226,Thieves,,2,Wk 3,FaZe,3,Mutineers,1,FaZe,,9,Ultra,2,3,40.00%,9,13,40.91%,20,9-12,Rokkr,,0,,,,,
1,Wk 2,2,SnD,Berlin,Thieves,4,Mutineers,6,Mutineers,,2,Wk 3,Surge,3,Thieves,1,Surge,,10,OpTic,1,4,20.00%,9,13,40.91%,10,,Surge,,,,,,,
1,Wk 2,3,Control,Tuscan,Thieves,2,Mutineers,3,Mutineers,,2,Wk 3,Breach,3,Mutineers,0,Breach,,11,Surge,1,4,20.00%,7,12,36.84%,10,,Royal Ravens,,,,,,,
1,Wk 2,4,Hardpoint,Tuscan,Thieves,250,Mutineers,144,Thieves,,2,Wk 3,OpTic,3,Guerrillas,0,OpTic,,12,Legion,0,5,0.00%,5,15,25.00%,0,,Legion,,,,,,,
1,Wk 2,5,SnD,Bocage,Thieves,6,Mutineers,4,Thieves,,2,Wk 3,Subliners,3,Rokkr,1,Subliners,,,,,,,,,,,,,,,,,,,
1,Wk 2,1,Hardpoint,Gavutu,Royal Ravens,242,Guerrillas,250,Guerrillas,,2,Wk 3,Royal Ravens,3,Breach,1,Royal Ravens,,Majors,,,,,,,,,,,,,,,,,
1,Wk 2,2,SnD,Berlin,Royal Ravens,5,Guerrillas,6,Guerrillas,,2,Wk 3,FaZe,0,OpTic,3,OpTic,,Rank,TEAM,W,L,Win%,GW,GL,GW%,Pts,Major Wins,,,,,,,,
